// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFB
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
49825	-57.0000	-1.124811	2.062657	10.071429	0.228026	0.318196	0.521719	-0.017474	-0.044505	0.117400	0.991933
49826	-57.0000	-1.084023	1.996528	10.100967	0.202594	0.437397	0.529370	-0.017214	-0.043436	0.119818	0.991696
49827	-57.0000	-0.910158	2.151345	10.011873	0.062318	0.306627	0.463311	-0.016947	-0.042318	0.122052	0.991476
49828	-56.0000	-0.803151	2.340281	10.012898	-0.018605	0.167212	0.500001	-0.016523	-0.041192	0.124495	0.991227
49829	-57.0000	-0.842100	2.072211	9.704234	0.061941	0.408805	0.137390	-0.016093	-0.040014	0.127455	0.990906
49830	-57.0000	-1.069385	1.637787	9.433617	0.323922	0.836065	-0.220260	-0.015584	-0.038712	0.131092	0.990491
49831	-56.0000	-1.108928	1.864465	9.570645	0.383649	0.732176	-0.034181	-0.014872	-0.037064	0.135572	0.989962
49832	-56.0000	-0.734348	2.795344	9.673609	0.050079	-0.059137	0.283105	-0.013990	-0.035383	0.140479	0.989352
49833	-56.0000	-0.498959	3.313206	9.690559	-0.151120	-0.466647	0.428988	-0.013019	-0.034030	0.144804	0.988789
49834	-56.0000	-0.645136	3.344803	9.633892	0.018111	-0.430227	0.396621	-0.012076	-0.032992	0.148013	0.988361
49835	-55.0000	-0.854273	3.231662	9.605939	0.242442	-0.263492	0.351909	-0.011141	-0.032040	0.150662	0.988003
49836	-56.0000	-0.815940	3.275775	9.716497	0.211487	-0.220462	0.469003	-0.010169	-0.031162	0.153331	0.987631
49837	-55.0000	-0.771258	3.566216	9.991798	0.165671	-0.360039	0.817053	-0.009314	-0.030304	0.156083	0.987235
49838	-55.0000	-0.665549	3.688372	9.864514	0.080996	-0.463578	0.729323	-0.008569	-0.029644	0.158483	0.986879
49839	-55.0000	-0.649770	3.512676	9.703944	0.081977	-0.298354	0.523255	-0.007881	-0.029154	0.160702	0.986541
49840	-54.0000	-0.667104	3.415197	9.767748	0.100416	-0.139403	0.554945	-0.007273	-0.028795	0.162918	0.986193
49841	-54.0000	-0.676702	3.433915	9.824821	0.109027	-0.095385	0.615912	-0.006741	-0.028672	0.164868	0.985876
49842	-54.0000	-0.585496	3.405972	9.847684	0.014631	-0.024336	0.623759	-0.006222	-0.028752	0.166676	0.985573
49843	-54.0000	-0.466723	3.641792	9.841643	-0.105914	-0.218418	0.688714	-0.005978	-0.028794	0.168040	0.985341
49844	-54.0000	-0.490318	3.760422	9.755638	-0.079661	-0.337976	0.648339	-0.006116	-0.028969	0.168574	0.985244
49845	-54.0000	-0.923233	3.653927	10.036101	0.332598	-0.132142	0.901732	-0.006352	-0.029145	0.168365	0.985273
49846	-54.0000	-0.995803	3.488617	10.274366	0.388723	0.093403	1.076060	-0.006742	-0.029235	0.167585	0.985401
49847	-54.0000	-0.859810	3.400401	10.191805	0.257907	0.127225	0.961919	-0.007255	-0.029283	0.166544	0.985572
49848	-55.0000	-0.778635	3.455457	10.176127	0.181620	0.043196	0.960664	-0.007952	-0.029126	0.165242	0.985791
49849	-55.0000	-0.689494	3.449580	10.071628	0.108666	-0.019089	0.855039	-0.008755	-0.028647	0.163539	0.986082
49850	-55.0000	-0.835580	3.203972	10.143696	0.261112	0.201777	0.852638	-0.009502	-0.028194	0.161585	0.986410
49851	-56.0000	-0.999182	2.994013	10.167010	0.433659	0.371552	0.817661	-0.009986	-0.027669	0.159632	0.986738
49852	-56.0000	-0.978198	2.812036	10.008006	0.434020	0.458078	0.609706	-0.009985	-0.026953	0.158157	0.986996
49853	-56.0000	-0.854716	2.946239	10.034163	0.327776	0.310200	0.670231	-0.009480	-0.025999	0.157309	0.987162
49854	-57.0000	-0.684457	3.035455	10.096351	0.174658	0.224989	0.748449	-0.008469	-0.024916	0.156832	0.987275
49855	-57.0000	-0.645250	2.768210	10.002402	0.155909	0.441482	0.575197	-0.007047	-0.023982	0.156643	0.987339
49856	-58.0000	-0.740156	2.722728	9.960461	0.267932	0.470850	0.525512	-0.005147	-0.023043	0.156685	0.987366
49857	-58.0000	-0.569307	3.162695	9.899461	0.116637	0.026655	0.594605	-0.003354	-0.022023	0.156444	0.987436
49858	-58.0000	-0.483433	3.535902	9.968837	0.043855	-0.320630	0.770755	-0.001862	-0.020928	0.155658	0.987587
49859	-58.0000	-0.447241	3.583404	10.029076	0.023613	-0.369078	0.840308	-0.000695	-0.019747	0.154544	0.987788
49860	-67.0000	-0.421760	3.634286	10.012833	0.021853	-0.448483	0.838181	0.000112	-0.018327	0.153315	0.988007
49861	-59.0000	-0.475044	3.488972	9.832179	0.110367	-0.389901	0.623117	0.000580	-0.016815	0.152133	0.988217
49862	-60.0000	-0.496203	3.351571	9.792931	0.163342	-0.293711	0.544324	0.000897	-0.015282	0.151129	0.988395
49863	-61.0000	-0.348098	3.315821	9.779913	0.046521	-0.283917	0.515897	0.001024	-0.013733	0.150241	0.988554
49864	-61.0000	-0.174263	3.655880	9.839274	-0.099842	-0.610597	0.667019	0.000769	-0.012275	0.149360	0.988706
49865	-63.0000	-0.038690	3.959772	9.906533	-0.207781	-0.907726	0.815265	0.000054	-0.010981	0.147828	0.988952
49866	-65.0000	-0.143210	3.677811	9.712636	-0.072006	-0.733908	0.547722	-0.000781	-0.010102	0.145551	0.989299
49867	-65.0000	-0.271362	3.176182	9.486361	0.079822	-0.364542	0.187980	-0.001547	-0.009483	0.143185	0.989649
49868	-67.0000	-0.277334	2.907268	9.553579	0.099190	-0.130886	0.175950	-0.002227	-0.008860	0.141233	0.989934
49869	-69.0000	-0.254193	2.969158	9.588645	0.089729	-0.216953	0.225609	-0.002871	-0.008273	0.139588	0.990171
49870	-66.0000	-0.327053	2.838413	9.587058	0.174957	-0.122207	0.188793	-0.003559	-0.007790	0.138123	0.990378
49871	-70.0000	-0.240317	2.546351	9.527645	0.098018	0.116058	0.051112	-0.004299	-0.007444	0.136964	0.990539
49872	-73.0000	-0.181585	2.482764	9.584272	0.045225	0.172386	0.087998	-0.004977	-0.007235	0.136146	0.990650
49873	-70.0000	-0.175052	2.576513	9.596537	0.045108	0.072949	0.124879	-0.005714	-0.007032	0.135718	0.990706
49874	-76.0000	-0.169556	2.418440	9.479717	0.044671	0.188313	-0.029785	-0.006494	-0.006945	0.135536	0.990727
49875	-72.0000	-0.250186	2.306659	9.663497	0.124960	0.343352	0.118724	-0.007188	-0.006808	0.135423	0.990738
49876	-71.0000	-0.272365	2.126448	9.733468	0.147412	0.532555	0.138746	-0.007590	-0.006686	0.135169	0.990771
49877	-72.0000	-0.258737	2.228015	9.790898	0.135385	0.445601	0.221046	-0.007830	-0.006751	0.135012	0.990790
49878	-70.0000	-0.221354	2.641774	9.971879	0.101225	0.086652	0.504704	-0.008165	-0.006721	0.134467	0.990862
49879	-66.0000	-0.216404	2.751157	10.061913	0.098606	-0.009534	0.620335	-0.008692	-0.006667	0.133634	0.990970
49880	-65.0000	-0.262052	2.603540	10.150072	0.143942	0.137780	0.667356	-0.009366	-0.006566	0.132635	0.991099
49881	-64.0000	-0.248967	2.423486	10.051473	0.134238	0.266523	0.525509	-0.010081	-0.006374	0.131773	0.991208
49882	-63.0000	-0.180123	2.301269	9.952268	0.070233	0.343860	0.397736	-0.010755	-0.006184	0.131296	0.991266
49883	-62.0000	-0.179202	2.343034	9.987915	0.075148	0.303944	0.443156	-0.011431	-0.005973	0.130906	0.991311
49884	-60.0000	-0.115100	2.483759	9.955911	0.020533	0.148883	0.447910	-0.012107	-0.005755	0.130375	0.991374
49885	-60.0000	-0.205176	2.636934	10.075417	0.117986	0.020353	0.603415	-0.012911	-0.005615	0.129608	0.991465
49886	-60.0000	-0.277107	2.532592	10.056180	0.192717	0.099073	0.558936	-0.013813	-0.005501	0.128498	0.991598
49887	-59.0000	-0.240326	2.305238	9.927020	0.157561	0.264692	0.376655	-0.014660	-0.005289	0.127560	0.991708
49888	-60.0000	-0.178244	2.392775	9.952057	0.105445	0.168317	0.422600	-0.015498	-0.004932	0.126902	0.991782
49889	-60.0000	-0.199980	2.630068	10.064532	0.141986	-0.046924	0.590661	-0.016372	-0.004605	0.126159	0.991864
49890	-60.0000	-0.262290	2.659372	10.164036	0.212148	-0.064855	0.694426	-0.017302	-0.004396	0.125312	0.991957
49891	-62.0000	-0.182946	2.533635	9.961336	0.137480	-0.011711	0.466511	-0.018251	-0.004285	0.124572	0.992033
49892	-60.0000	-0.218840	2.234350	9.760971	0.169904	0.218096	0.199322	-0.019127	-0.004191	0.124030	0.992085
49893	-60.0000	-0.313269	2.160444	9.870867	0.264897	0.311840	0.288415	-0.019942	-0.003987	0.123704	0.992111
49894	-61.0000	-0.358457	2.212441	10.017382	0.315181	0.295417	0.443273	-0.020655	-0.003846	0.123645	0.992104
49895	-60.0000	-0.261158	2.399118	10.101607	0.227502	0.129155	0.569894	-0.021325	-0.003828	0.123503	0.992108
49896	-59.0000	-0.140029	2.615932	10.045811	0.117209	-0.106640	0.567867	-0.022034	-0.003934	0.122957	0.992160
49897	-60.0000	-0.158374	2.316649	9.924463	0.123174	0.143127	0.378055	-0.022701	-0.004139	0.122323	0.992222
49898	-59.0000	-0.206596	2.150364	9.945765	0.161785	0.300513	0.359259	-0.023293	-0.004278	0.121846	0.992266
49899	-58.0000	-0.207588	2.159319	9.888505	0.162468	0.271594	0.306014	-0.023766	-0.004407	0.121657	0.992278
49900	-59.0000	-0.220048	2.239433	10.030902	0.174190	0.225604	0.463559	-0.024179	-0.004600	0.121560	0.992279
49901	-57.0000	-0.247396	2.321240	10.140001	0.200521	0.172157	0.589194	-0.024500	-0.004794	0.121513	0.992276
49902	-58.0000	-0.193286	2.247404	9.978386	0.142213	0.201926	0.414500	-0.024829	-0.004990	0.121483	0.992270
49903	-68.0000	-0.198502	2.061935	9.912995	0.136780	0.365162	0.306917	-0.025110	-0.005129	0.121371	0.992276
49904	-58.0000	-0.198306	2.127126	10.010878	0.136403	0.323369	0.417586	-0.025280	-0.005206	0.121304	0.992280
49905	-59.0000	-0.201581	2.228841	10.051532	0.141460	0.233860	0.481339	-0.025449	-0.005409	0.121306	0.992274
49906	-59.0000	-0.253831	2.278278	10.001183	0.192885	0.176579	0.444517	-0.025533	-0.005628	0.121299	0.992272
49907	-58.0000	-0.223002	2.330784	10.059123	0.160461	0.136400	0.513197	-0.025658	-0.005749	0.121175	0.992283
49908	-58.0000	-0.232573	2.485302	10.194937	0.173686	0.016496	0.681936	-0.025843	-0.005824	0.121038	0.992294
49909	-59.0000	-0.133903	2.410431	10.132453	0.071521	0.068620	0.602921	-0.026042	-0.005894	0.121123	0.992278
49910	-58.0000	-0.172349	2.285025	10.094648	0.103649	0.186634	0.536583	-0.026235	-0.005921	0.121347	0.992246
49911	-58.0000	-0.249374	2.382618	10.101923	0.185851	0.102475	0.567238	-0.026460	-0.005881	0.121558	0.992214
49912	-58.0000	-0.245350	2.373873	10.145132	0.181118	0.125347	0.607037	-0.026667	-0.005907	0.121749	0.992185
49913	-57.0000	-0.227701	2.319531	10.097245	0.160272	0.167675	0.547458	-0.026808	-0.006040	0.121743	0.992181
49914	-57.0000	-0.205825	2.454290	10.011185	0.145442	0.013738	0.495968	-0.026946	-0.006096	0.121596	0.992195
49915	-58.0000	-0.193524	2.465595	10.000373	0.134160	-0.002723	0.488092	-0.027020	-0.006052	0.121522	0.992202
49916	-56.0000	-0.171170	2.401466	10.043383	0.109285	0.067085	0.514434	-0.027121	-0.005965	0.121457	0.992208
49917	-56.0000	-0.207523	2.440349	10.144871	0.147305	0.054703	0.622450	-0.027183	-0.005921	0.121439	0.992209
49918	-56.0000	-0.231271	2.514468	10.072423	0.177528	-0.034485	0.569848	-0.027231	-0.005859	0.121316	0.992223
49919	-56.0000	-0.217571	2.504944	10.074110	0.164834	-0.026642	0.569119	-0.027270	-0.005787	0.121335	0.992220
49920	-56.0000	-0.168158	2.455861	9.988371	0.116116	-0.001893	0.473887	-0.027325	-0.005709	0.121333	0.992219
49921	-56.0000	-0.208230	2.347884	9.952970	0.152408	0.096861	0.413989	-0.027373	-0.005666	0.121349	0.992216
